geo,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,2.3,2.2,2.2,3.7,4.3,3.08,5,3.86,5.5,7.54,9.5,8.08,8.03,7.36,7.14,7.29,6.95,5.3,4.55,4.55,4.79,6.16,7.7,7.31,7.41,7.09,7.58,7.47,5.31,5.63,6.24,7.44,6.65,7.6,7.4,6.66,6.47,7.74,8.11,7.11,7.65,8.64,9.02,9.09,8.06,7.11
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.64,8.99,9.94,11.7,8.86,10.6,9,0,5.79,7.47,0,0,7.34,6.21,5.85,0,0,0,0,10.5,7.86,6.26,6.6,4.15,5.92
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,2.21,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0.93,2.42,0,0,0,0,0,
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.2,0,1.3,0,0,1.89,2.93,2.63,0,0,2.64,2.7,1.85,1.9,2.2,1.91,1.84,0,
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8,22.2,22.6,20,10.2,6.18,6.22,3.33,6.54,3.26,3.38,4.98,2.11,0,3.38,3.58,4.6,4.2,0,3.56,4.35,3.8,4.21,1.98,2.4,0,1.87,1.48,1.95,1.36,2.55,2.28,2.78
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.9,26.5,21.3,23.2,25.6,26.2,26.4,26.5,25.2,26.3,22.8,8.25
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7,0,0,0,0,0,11.7,0,0,19.8,0,19.5,0,18.6,0,14.8,15.7,0,21.4,0,0,15.7,0,0,13,14.6,0,0,0,0,0,0,
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93,2.12,2.15,2.75,0,3.9,4.7,4.62,3.9,3.17,2.22,3.34,3.54,3.01,3.83,0,5.41,5.16,0,5.37,5.81,6.45,7.38,8.15,0,7.77,7.57,8.04,6.97,7.33,6.57,6.21,5.38,6.36,5.22,5.05,5.79,5.64,5.58,7.2,10.2,11.3
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,2.44,2.59,1.92,1.97,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0,6.27,0,0,8.8
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,12.6,14,16.6,20.9,18.8,14.2,12.4,10.3,8.64,6.52,5.48,6.98,10.9,12.3,13.5,13.9,12.3,9.78,8.1,6.35
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,2.31,0,0,0,0,0,0,0,2.89,2.8,0,0,0,0,0,0,3.93,0,0,
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05,0,0,24
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,4.64,0,2.11,1.32,0,0,7.7,0,0,0,1.49,0,0.44,0,1.41,0.27,0.16,0,0,
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47,0,0,0,0,8.18,0,0,0,4.2,0,2.63,0,0,3.4,0,0,0,3.06,0,0,
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,7,6.8,5.8,5.6,6.2,6.42,7.36,7.64,6.77,7.01,7.16,11.2,12.3,11.4,10.5,9.47,8.53,7.43,7.37,8.16,10.8,12,11.9,10.9,9.8,9.89,9.25,8.52,7.83,6.94,7.53,8.13,7.94,7.48,7.01,6.52,6.38,6.57,9.54,8.79,7.96,7.72,7.5,7.38,7.46,7.68,6.78
