geo,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,3.3,3.9,4.7,7.7,10.5,10.8,13.1,12.8,15,18,18.6,17.8,18.3,17.8,17.9,17.6,15.2,13,11.4,10.6,9.5,10.8,12.4,12.2,12.4,11.5,11.7,10.2,8.28,6.92,7.8,8,8.28,9.51,9.31,8.44,7.6,8.11,8.52,7.18,7.41,8.17,7.94,7.77,7.56,7.05
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2,15.6,17.9,18.6,20.4,21.3,20.3,0,15.4,15.3,0,0,17.1,15.1,13,0,0,0,0,22.3,20.8,19.9,15.1,13.6,14.6
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,1.14,2.86,0,0,0,0,0,
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.6,0,3.2,0,0,3.34,3.29,3.81,0,0,5.35,3.97,4.54,2.2,3.7,3.49,3.15,0,
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,11.5,12.6,11.6,9.94,7.41,7.12,1.23,5.26,2.84,4.09,5.53,2.03,0,4.59,5.58,6.4,6.8,0,4.88,5.98,5.26,5.74,3.35,3.44,0,2.66,2.76,2.95,2.82,3.78,4.02,3.82
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.8,32.7,26.5,25.7,29.9,29.9,30.8,28.9,31.2,32.2,31.3,5.5
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8,0,0,0,0,0,17.2,0,0,23.8,0,23.9,0,23.6,0,17.3,22.1,0,26.3,0,0,20,0,0,19.6,21.4,0,0,0,0,0,0,
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,2.76,2.8,2.76,0,4.16,5.09,4.63,4.4,3.86,2.71,3.95,4.25,2.97,3.45,0,7.95,7.34,0,8.07,9.5,10.8,12.5,13.2,0,12.1,11.8,12.6,11.9,12.5,11.3,11.1,9.88,11.3,8.51,9.36,9.02,8.74,8.09,10,13.4,14.7
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.6,27.1,25.9,25,22.3,0,0,0,0,0,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37,0,0,7.88,0,0,9.96
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,11.8,14.1,15.8,18.9,17.4,13.2,11.6,9.84,9.3,7.29,5.76,6.62,9.61,10.1,10.8,11.8,10.4,8.42,6.97,5.95
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,2.58,0,0,0,0,0,0,0,1.66,3.9,0,0,0,0,0,0,9.26,0,0,
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,21
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,5.84,0,2.77,1.93,0,0,7.36,0,0,0,1.79,0,0.26,0,1.13,0.33,0.2,0,0,
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,6.7,0,0,0,4.6,0,3.49,0,0,4.88,0,0,0,4.03,0,0,
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,5.1,5.3,5.1,4.9,8.1,8.21,9.17,9.55,8.69,8.33,8.26,10.7,11.6,11.3,10.6,9.76,9.2,8.19,7.77,8.09,9.69,10.2,10.7,9.8,9.11,9.29,8.92,7.99,7.29,6.69,6.86,7.12,7.16,6.85,6.46,6.09,5.65,5.65,7.01,7.24,7.01,6.82,6.6,6.39,6.29,6.24,5.85
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.7,0,
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3,13.1,16.3,14,10.1,9.96,18.3,14.7,15.9,0,9.65,0,7.75,6.04,9.57,0,7.51,0,8.54,9.52,9.99,9.59,9.34,13.1,12.5,11.9,11.8,12,13,12.3,11.8,10.9,12.1,13.4,9.92,8.87,8.13,7.18,7.13,7.14,7.27,7.46
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0,11.9,0,0,11.5,0,0,14.2,16.3,18.6,17.2,14.5,0,0,0,13.5,13,5.17,12.3,11.3,14.9,15.1,18,23.3,24.5,19.4,20,18.6,18,15.9,16.2,14.8,14.8,15.8,14.2,13.1,12.7,11.7,11,10.8,11.2,11.5
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,0,0,0,0,0,0,0,0,0,0,0,0,4.89,0,0,0,0,0,0,0,0,0,0,0,0,
"Congo, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,3.62,0,0,0,0,
"Congo, Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,18.3,0,0,10.8,0,0,0,0,
